* VELROT Run on 2026/ 6/24  1:50 Version 1.01-julia
* SYSTEM 1 File    : EURA       Slave.vel
* SYSTEM 2 File    : EURA       Master.vel
* FUNDAMENTAL File :            link.file
* OUTPUT FRAME     : EURA       PARAM_OPT TR      
* EQ_DIST          :              200.0 m, CP_DIST :        200.0 m*
* AV_DIST          :                0.0 m* HEIGHT WEIGHT    :   0.000001
* 
* RMS fit for      126 components from   63 stations was       0.42 mm/yr, NRMS     1.19
* Estimates of Transformation parameters are: 
*    1 X-Offset     394.2995   216.0307 (mm/yr)
*    2 Y-Offset     529.3799   323.3458 (mm/yr)
*    3 Z-Offset    -713.4748   239.7109 (mm/yr)
*    4 X-Rot         17.6654     7.2834 (mas/yr)
*    5 Y-Rot        -24.1023     9.4503 (mas/yr)
*    6 Z-Rot         -9.3507     8.7431 (mas/yr)
*  Differences at the fundamental sites
*   #  Name 1  Name Ref    dN (mm)    dE (mm)    dU (mm)    sN (mm)    sE (mm)    sU (mm)   sTN (mm)   sTE (mm)   sTU (mm)
A   46 TRIP_GPM TRIP_GPS       0.16      -0.07     -18.99       0.41       0.35       1.53       0.06       0.05       3.17
A   47 LYGO_GPS LYGO_GPS       0.18      -0.28     -19.38       0.44       0.35       1.26       0.06       0.06       3.80
A   48 MENA_GPS MEN__GPS       0.11       0.67     -23.27       0.55       0.44       1.63       0.07       0.07       4.85
A   49 ANAV_GPS ANAV_GPS      -0.05      -0.41     -20.94       0.42       0.42       1.12       0.09       0.09       6.47
A   50 KOPA_GPS KOPA_GPS       0.33      -0.19     -19.14       0.44       0.35       1.22       0.08       0.07       4.48
A   51 VASS_GPS VASS_GPS       0.97       0.55     -17.79       0.54       0.57       1.76       0.07       0.06       3.97
A   52 SPET_GPS SPET_GPS       0.16      -0.14     -25.30       0.24       0.23       1.15       0.07       0.07       4.75
A   53 VALY_GPS VALY_GPS       0.71       0.07     -22.40       0.45       0.53       1.25       0.08       0.07       4.52
A   54 ATRS_GPS ATRS_GPS      -0.13      -0.37     -24.94       0.49       0.47       1.54       0.07       0.07       4.18
A   55 MTNI_GPM METH_GPS       0.09       0.66     -26.38       0.27       0.30       1.32       0.12       0.10       6.12
A   56 PYL1_GPS PYL0_GPS      -0.50       0.82     -25.03       0.52       0.82       1.16       0.11       0.09       5.81
A   57 KORO_GPS KORO_GPS      -0.42       0.60     -29.18       0.74       0.63       1.46       0.11       0.10       5.79
A   58 ANIK_GPS ANIK_GPS       1.12       0.64     -28.69       0.68       0.67       1.51       0.10       0.09       5.39
A   59 MOLU_GPM MOLA_GPS      -0.10       0.11     -31.82       0.29       0.31       1.23       0.10       0.10       5.67
A   60 NEAB_GPM NEAB_GPS      -0.95       0.33     -37.09       0.31       0.45       1.43       0.14       0.13       7.03
A   61 PTKG_GPS PTKG_GPS       0.16       0.03     -36.12       0.63       0.93       1.32       0.14       0.13       6.95
A   62 KERY_GPS KERY_GPS       0.49      -0.88     -33.74       0.57       0.58       1.80       0.13       0.12       6.66
A   63 KITH_GPS KITH_GPS      -0.46       0.86     -41.63       0.54       0.55       1.76       0.17       0.16       7.89

* SYSTEM 1 Velocities transformed to SYSTEM 2 
*   Long.       Lat.         E & N Rate      E & N Adj.      E & N +-   RHO        H Rate   H adj.    +-  SITE
*  (deg)      (deg)           (mm/yr)       (mm/yr)       (mm/yr)                 (mm/yr)
   20.61900   38.75400    -4.67  -10.29   -4.67  -10.29    0.33    0.33  0.006    -10.48  -10.48    8.66 EXAN_GPS*
   20.67000   38.78100    -2.88  -10.49   -2.88  -10.49    0.25    0.21  0.013    -10.66  -10.66    8.55 SPAN_GPM 
   20.65600   38.79100    -3.78  -10.47   -3.78  -10.47    1.16    1.16  0.001    -10.89  -10.89    8.61 1KVL_GPS 
   20.84600   38.91000    -5.60  -15.07   -5.60  -15.07    1.38    1.38  0.001    -11.84  -11.84    8.30 VONI_GPS 
   20.69500   38.83000    -4.09  -14.85   -4.09  -14.85    0.61    0.71  0.002    -11.31  -11.31    8.57 LEFK_GPS 
   20.71000   38.83200    -3.84  -13.64   -3.84  -13.64    0.34    0.31  0.007    -11.27  -11.27    8.53 LEUK_GPM 
   20.69300   38.85200    -3.99  -14.05   -3.99  -14.05    1.76    1.76  0.000    -11.67  -11.67    8.63 JL17_GPS 
   21.08800   38.76700    -5.79  -17.60   -5.79  -17.60    0.58    0.58  0.002     -8.42   -8.42    7.25 BQ07_GPS 
   21.10900   38.78500    -7.89  -15.19   -7.89  -15.19    0.56    0.56  0.002     -8.60   -8.60    7.23 BQ0F_GPS 
   21.11100   38.80500    -7.40  -16.18   -7.40  -16.18    0.63    0.63  0.002     -8.91   -8.91    7.27 BQ19_GPS 
   21.07100   38.81100    -6.80  -17.10   -6.80  -17.10    0.56    0.56  0.002     -9.20   -9.20    7.40 BQ1A_GPS 
   21.06000   38.81400    -7.30  -18.10   -7.30  -18.10    0.56    0.56  0.002     -9.30   -9.30    7.44 BQ1C_GPS 
   21.11100   38.82100    -8.60  -12.08   -8.60  -12.08    0.56    0.56  0.002     -9.16   -9.16    7.31 BQ1F_GPS 
   21.06200   38.82500    -7.30  -16.20   -7.30  -16.20    0.57    0.57  0.002     -9.46   -9.46    7.46 BQ22_GPS 
   21.03400   38.87000    -6.80  -16.10   -6.80  -16.10    0.64    0.64  0.002    -10.31  -10.31    7.65 BQ37_GPS 
   21.09800   38.88700    -7.81   -6.58   -7.81   -6.58    0.53    0.53  0.003    -10.27  -10.27    7.52 BQ3E_GPS 
   21.14900   38.89000    -8.52   -5.95   -8.52   -5.95    0.37    0.44  0.005    -10.07  -10.07    7.39 BQ3F_GPM 
   21.12700   38.90300    -7.01   -5.47   -7.01   -5.47    0.57    0.57  0.003    -10.38  -10.38    7.48 BQ45_GPS 
   21.09900   38.90800    -8.51   -6.88   -8.51   -6.88    0.52    0.52  0.003    -10.59  -10.59    7.57 BQ47_GPS 
